,Unnamed: 0,speech_id,triplet_id,title,date,link,date_character,source,year,text,results_coder_1,results_coder_2
10,11,220,220_8,Speech by President von der Leyen at the European Economic and Social Committee Plenary debate,12/9/2021,https://ec.europa.eu/commission/presscorner/detail/en/speech_21_6721,9-Dec-21,speech,2021,"And thank you very much, Madam President, for having mentioned what we do for the rest of the world. But if I look at Europe, there is no shortage of vaccines, we have access to them. By the end of the year, we will have a manufacturing capacity, here in Europe, of over 300 million doses per month.",none,none
11,12,225,225_21,Speech by President von der Leyen at the EU Ambassadors Conference 2021 via videoconference,12/7/2021,https://ec.europa.eu/commission/presscorner/detail/en/speech_21_6666,7-Dec-21,speech,2021,"We must protect our societies and democracies from this kind of cynical geopolitical power play. The EU will respond appropriately to any further aggressions, including breaches of international law or any other malicious actions, taken against us or our neighbours, including Ukraine. This response will take the form of robust scaling-up and expansion of existing sanctions regimes.",prescriptive,prescriptive
12,13,299,299_7,2021 State of the Union Address by President von der Leyen,9/15/2021,https://ec.europa.eu/commission/presscorner/detail/en/speech_21_4701,15-Sep-21,speech,2021,"But I believe that it is when you are tested that your spirit €“ your soul - truly shines through. 
As I look across our Union, I know that Europe will pass that test. And what gives me that confidence is the inspiration we can draw from Europe's young people.",none,none
13,14,299,299_44,2021 State of the Union Address by President von der Leyen,9/15/2021,https://ec.europa.eu/commission/presscorner/detail/en/speech_21_4701,15-Sep-21,speech,2021,"In our social market economy, it is good for companies to make profits. And they make profits thanks to the quality of our infrastructure, social security and education systems.  So the very least we can expect is that they pay their fair share. This is why we will continue to crack down on tax avoidance and evasion.",prescriptive,prescriptive
14,15,339,339_60,"Keynote speech by Vice-President MaroÃ…Â¡ Ã…Â efÃ„ÂoviÃ„Â on ""EU-UK relations after Brexit"" at the Mario Soares Promotion Closing Ceremony, College of Europe",6/18/2021,https://ec.europa.eu/commission/presscorner/detail/en/speech_21_3094,18-Jun-21,speech,2021,"This is the best way to strengthen our democratic fabric and continue fighting populism. *
Ladies and Gentlemen,
Dear students,
If we were to go back to June 2016, few of us would have predicted the situation we find ourselves in today. But there is no use in endlessly revisiting the past.",none,none
15,16,376,376_34,Speech by President von der Leyen at the Porto Social Summit ,5/7/2021,https://ec.europa.eu/commission/presscorner/detail/en/speech_21_2342,7-May-21,speech,2021,"First of all, give the parents a job, work to earn an income for the family. And for that, we need the employers. For that, we need the trade unions.",none,none
16,17,380,380_60,Speech by President von der Leyen at the State of the Union conference of the European University Institute,5/6/2021,https://ec.europa.eu/commission/presscorner/detail/en/speech_21_2284,6-May-21,speech,2021,And the outcome of the Conference will only be as good as the ideas and visions of people like you. So I count on your contributions! Viva l'Europa.,discretionary,discretionary
17,18,455,455_17,Opening speech by President von der Leyen at the ETUI-ETUC Conference: 'Towards a new socio-ecological contract',2/3/2021,https://ec.europa.eu/commission/presscorner/detail/en/speech_21_404,3-Feb-21,speech,2021,"Europeans have felt the impact of climate change for years. We have all experienced torrid summers and torrential rains, which we have never seen before. But during the pandemic, something else has changed in our relationship with nature.",none,none
18,19,465,465_35,Special Address by President von der Leyen at the Davos Agenda Week*,1/26/2021,https://ec.europa.eu/commission/presscorner/detail/en/speech_21_221,26-Jan-21,speech,2021,"A body of rules based on our values: Human rights and pluralism, inclusion and the protection of privacy. So Europe stands ready. The challenges to our democracy, the pandemic, climate change €“ in his inauguration speech President Joe Biden so aptly spoke of a Cascade of Crises.",none,none
19,20,516,516_74,Speech by President von der Leyen at the opening ceremony of the academic year of the Bocconi University,11/28/2020,https://ec.europa.eu/commission/presscorner/detail/en/speech_20_2237,28-Nov-20,speech,2020,So best of luck for this new Academic Year. It will be harder than many other years. But Europe needs you more than ever.,none,none
20,21,538,538_32,Speech by President von der Leyen at the EU Ambassadors' Conference 2020,11/10/2020,https://ec.europa.eu/commission/presscorner/detail/en/speech_20_2064,10-Nov-20,speech,2020,"It will clarify the responsibilities of online platforms: to know their business customers, to be more transparent on how content spreads and to show how they respond to this. In parallel we are also proposing a Digital Markets Act. It will set out tools to address timely the economic power of gatekeeper platforms, to protect fair competition and innovation.",prescriptive,prescriptive
21,22,581,581_104,State of the Union Address by President von der Leyen at the European Parliament Plenary,9/16/2020,https://ec.europa.eu/commission/presscorner/detail/en/speech_20_1655,16-Sep-20,speech,2020,"But none of this is justification for attempts to intimidate its neighbours. Our Member States, Cyprus and Greece, can always count on Europe's full solidarity on protecting their legitimate sovereignty rights.  
De-escalation in the Eastern Mediterranean is in our mutual interest. The return of exploratory vessels to Turkish ports in the past few days is a positive step in this direction.",none,discretionary
22,23,581,581_76,State of the Union Address by President von der Leyen at the European Parliament Plenary,9/16/2020,https://ec.europa.eu/commission/presscorner/detail/en/speech_20_1655,16-Sep-20,speech,2020,"This includes control over our personal data which still have far too rarely today. Every time an App or website asks us to create a new digital identity or to easily log on via a big platform, we have no idea what happens to our data in reality. That is why the Commission will soon propose a secure European e-identity.  
One that we trust and that any citizen can use anywhere in Europe to do anything from paying your taxes to renting a bicycle.",prescriptive,prescriptive
23,24,606,606_26,"Speeches by EVP Timmermans, Commissioner Ferreira and Commissioner Simson at the Just Transition Platform Launch Event",6/29/2020,https://ec.europa.eu/commission/presscorner/detail/en/speech_20_1220,29-Jun-20,speech,2020,"We must ease this transition by supporting coal and other carbon intensive regions to regenerate their economies and train workers for new, better jobs. We shall leave no one behind in this needed shift to a carbon-neutral economy. That is what cohesion policy is about.",prescriptive,prescriptive
24,25,664,664_41,Keynote speech by President von der Leyen at the BusinessEurope Day 2020,3/5/2020,https://ec.europa.eu/commission/presscorner/detail/en/speech_20_397,5-Mar-20,speech,2020,"What is the difference? If you sell the machine, there is a certain incentive to be aware of the fact that at a certain time, it breaks and you exchange it for the next one. If you sell the machine load €“ so you just lease the machine to the household €“ the incentives are completely different.",none,none
25,26,699,699_8,Speech by Michel Barnier at the William J. Clinton Leadership Institute,1/27/2020,https://ec.europa.eu/commission/presscorner/detail/en/speech_20_133,27-Jan-20,speech,2020,"Lastly, we had €“ and we still have €“ the responsibility to encourage a genuine public debate on Brexit: on how it affects the EU and the UK, and in particular Ireland and Northern Ireland. This debate hasn't always been easy. But it is important.",none,discretionary
26,27,737,737_82,Speech by President-elect von der Leyen in the European Parliament Plenary on the occasion of the presentation of her College of Commissioners and their programme,11/27/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_6408,27-Nov-19,speech,2019,This is why I chose Nicolas Schmit to be in charge of implementing our European Pillar of Social Rights and fighting poverty from childhood onwards. He will put forward a framework to ensure that every worker in our Union has a fair minimum wage. And Helena Dalli will be the champion we need to break through the glass ceilings.,prescriptive,prescriptive
27,28,752,752_48,"Europe address - Dr Ursula von der Leyen 
President-elect of the European Commission - Allianz Forum (Pariser Platz), Berlin",11/10/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_6248,10-Nov-19,speech,2019," 
I don't have a simple, ready-made solution. But I can promise you that from day one my Commission will work tirelessly on this issue which is so important for the internal cohesion of our community. I submit that here too the European idea will triumph in the end.",prescriptive,discretionary
28,29,765,765_22,Speech by President Juncker at the European Policy Centre Thought Leadership Forum,10/24/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_6163,24-Oct-19,speech,2019,"There are many who take credit for this and some without merit. I would like to take a little of the merit at least. Because when I was, as a President of the Commission, dealing with the Greek crisis, numerous were the Prime Ministers and the Finance Ministers calling me and who said: €˜Jean-Claude, this is not your job.",none,none
29,30,770,770_38,Keynote Speech at the Symposium Ã¢Â€ÂœThe Zero-Sum Game of Migration in Europe: 20 years after TampereÃ¢Â€Â organized by Oxford-Brookes University (15 October 2019),10/22/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_7332,22-Oct-19,speech,2019,"In Niger, for example, it is over seven (7) children per woman. 

In Europe, by comparison, the average birth rate is one point six (1.6) children per woman. 
People are calling Africa's growing population a €œticking  time bomb€. 
So, this leaves Africa's young generations with two choices:

(a) either stay and invest in their countries' or

(b) look for better opportunities elsewhere.",none,none
30,31,771,771_47,'Europe: a matter of the heart' Ã¢Â€Â“ Speech by President Juncker at the European Parliament on the occasion of the debate on the review of the Juncker Commission,10/22/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_6145,22-Oct-19,speech,2019,"A few years from now, not a single European Member State will still be a member of the G7 group. Anyone who, in the face of these irreversible developments, still thinks that now would be the time for us to put less Europe on the agenda and retreat back into our national shells is making a fundamental mistake. Europe means peace.",prescriptive,none
31,32,808,808_5,"Ã¢Â€ÂœThe contribution of the EU to strengthening the European civil protectionÃ¢Â€Â, Disaster Prevention and Disaster Management (KaVoMa) Master studies programme, University of Bonn (4 October 2019)",10/7/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_7286,7-Oct-19,speech,2019,"About the complex challenges that Europe faces. People like YOU. 
I look forward to an open and constructive conversation with you.",discretionary,none
32,33,819,819_15,"""Europe's Strategic Role in Tackling today's Global Challenges"", Center For European Studies-CES, Harvard University (Boston, 27 September 2019)",9/30/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_7273,30-Sep-19,speech,2019,"
The European Union, together with our Member States, is the global leader in humanitarian and development aid. 
I am extremely proud of this. Not only as European Commissioner, but as a European citizen.",none,none
33,34,886,886_17,"Opening Statement in the European Parliament Plenary Session by Ursula von der Leyen, Candidate for President of the European Commission",7/16/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_4230,16-Jul-19,speech,2019,"This will unlock ‚¬1 trillion of investment over the next decade. It means change. All of us and every sector will have to contribute, from aviation to maritime transport to the way each and everyone of us travels and lives.",prescriptive,prescriptive
34,35,899,899_46,"Keynote Speech by European Commissioner JourovÃƒÂ¡ at the University of Chile: Ã¢Â€ÂœEU-Chile: Challenges and Opportunities in the Digital Era. Shared values and common responses""",7/9/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_3991,9-Jul-19,speech,2019," 
Next steps 
So, what's the way forward for the tech revolution? Will it lead us to a better future or rather turn our lives to an episode of Black Mirror. In the public debate, I see some questions appear that in my view miss the real issues.",none,none
35,36,935,935_3,"Speech by President Juncker at the European Central Bank Forum on Central Banking 2019 celebrating 20 years of the Economic and Monetary Union, 'Building the euro: moments in time, lessons in history'",6/19/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_3320,19-Jun-19,speech,2019,"And this is why I always admire Mario's speeches, which are priceless pieces of art. It is fair to say that I am better suited to being a politician. I can say what I think €“ from time to time I can say what I think €“ which is what I plan to do today.",none,none
36,37,941,941_33,"""European Solidarity: Protecting and Saving Lives"" - Keynote Speech at the Graduation Ceremony of CERIS-ULB Diplomatic School of Brussels (14 June 2019)",6/17/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_7152,17-Jun-19,speech,2019,"			forced marriage. 			forced labour. 			abuse and exploitation.",none,none
37,38,989,989_9,"Keynote speech at  HIVA-EZA conference on Ã¢Â€Â˜60 years of social security coordination from a workers' perspective', KU Leuven",5/16/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_7099,16-May-19,speech,2019,"Those who play into fears of uncontrolled immigration, crime and terrorism. 
What I refer to is the pressure stemming from fears of abuse of social security systems. 
Fears of labour under decent working conditions being replaced by so-called social dumping.",none,none
38,39,1001,1001_15,"Opening speech at the Youth Event in Sibiu, Romania",5/8/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_7088,8-May-19,speech,2019,"
In more than sixty years, we have built a Europe based on the promise of peace, democracy and prosperity. 
But we can't take anything for granted. Remember.",none,none
39,40,1005,1005_57,"Lecture by First Vice-President Frans Timmermans on the occasion of the annual reflection on the eve of 4 May, the National Day of Remembrance in the Netherlands",5/6/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_7082,6-May-19,speech,2019,"But without a Jewish community, Europe ceases to be Europe, and this must never happen to us. 
Security, greater understanding, more dialogue, much better education... These are all necessary components of the vaccine we need to develop together.",none,prescriptive
40,41,1014,1014_33,Opening remarks by First Vice-President Frans Timmermans at the Conference Ã¢Â€ÂœBetter Regulation: taking stock and sustaining our commitmentÃ¢Â€Â,4/29/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_7078,29-Apr-19,speech,2019,"They may be facts but I do not believe them so I will disregard them. That is an attitude we cannot afford in this society. 	But some interpretations are better than others and better regulation with its formal procedures, consultation mechanisms and independent scrutiny bodies helps us discriminate.",none,none
41,42,1034,1034_38,"Keynote speech at Conference on ""European Social Fund +, a PLUS for our Future!Ã¢Â€Â, Bucharest",4/11/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_7038,11-Apr-19,speech,2019,"
And that's why we have the European Social Fund. Currently ten per cent, of the entire EU budget, that's dedicated to social. 
The European Social Fund has invested into social inclusion for more than 60 years.",none,none
42,43,1040,1040_43,"Keynote speech at the high-level conference on the ""Future of Work: Today. Tomorrow. For All."", Brussels ",4/9/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_7031,9-Apr-19,speech,2019,"In which we include social provisions. To export not only products and our services, but also our values. 	Last but not least: We are working constantly to improve the economy.",prescriptive,none
43,44,1047,1047_31,Opening speech by Commissioner Thyssen at the High-Level Conference on the Future of Work,4/9/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_2079,9-Apr-19,speech,2019,"Jobs that rely on routine, can be easily automated. And nowadays, also higher skilled jobs. We already see robot journalists, machine translators and artificial investment bankers.",none,none
44,45,1049,1049_4,Keynote speech by Commissioner Avramopoulos on the Ã¢Â€ÂœGlobal Challenges of Security and MigrationÃ¢Â€Â at the Atlantic Council,4/8/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_7030,8-Apr-19,speech,2019,"
I have been in the US many times before, first as mayor of Athens and I established a very good and friendly relationship with the Mayor of Washington at that time Mr Williams. We have brought the two cities close to each other. On the larger scale we have worked together, in promoting what I had called at that time: €œCities' diplomacy€.",none,none
45,46,1121,1121_35,"Speech by First Vice-President Frans Timmermans after being awarded the title of Doctor Honoris Causa by The National School of Political and Administrative Studies in Bucharest, Romania",3/12/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_6963,12-Mar-19,speech,2019,"
And I hope you understand against the background of what I have just said why we say this. This is linked, for instance, with the independence of the judiciary. Why do we need an independent judiciary?",none,none
46,47,1159,1159_13,"Third Meeting of the Civil Protection Directors-General of the Members States of the Union for the Mediterranean (Barcelona, 11 February 2019)",2/12/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_6927,12-Feb-19,speech,2019,"	Urban development. 	Trade. 	Environmental issues.",none,none
47,48,1198,1198_16,11th Annual Conference on European Space Policy - opening speech,1/22/2019,https://ec.europa.eu/commission/presscorner/detail/en/speech_19_6886,22-Jan-19,speech,2019,"We will progressively launch two new initiatives:

A Space Situational Awareness (SSA) system to avoid collision and debris on key satellites
	A Governmental Satellite Communication (GovSatCom) initiative to provide Member States with reliable and secure satellite communication. Additionally, together with Mariya Gabriel, we are working on a joint initiative on Quantum secured communication using both terrestrial and space capacities. Mariya will tell you more.",discretionary,discretionary
48,49,1282,1282_2,A shared vision for Europe's future,11/26/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_4091,26-Nov-18,speech,2018,"The first palace was destroyed at the end of the eighteenth century. Its replacement suffered the same fate, at the end of the nineteenth. We were all holding our breath at the end of twentieth century €“ though it seems to have been third time lucky.",none,none
49,50,1325,1325_20,"Opening speech for the EC-ILO Joint Conference on Domestic Workers, Brussels",11/12/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_4043,12-Nov-18,speech,2018,"Or a bad one. 
It is likely her employers pay her in cash. It is likely, they have not registered the contract.",none,none
50,51,1451,1451_31,Speech by Commisioner Avramopoulos at the 2nd International Conference on Europe in Discourse: Agendas of Reform Hellenic-American University.,9/21/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3896,21-Sep-18,speech,2018,"I remind you that in 2015, more than 13-14.000 people were crossing the European Borders over the Aegean sea. But numbers have gone down dramatically, thanks to the implementation of this Statement. And I want to clarify something for our prominent professors here: we are not talking about an Agreement, because it would have to be ratified by national parliaments and this would never happen.",none,none
51,52,1454,1454_43,"New Voices and Political Choices in the Age of Artificial Intelligence - Lecture at Nanyang Technological University, Singapore",9/21/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3891,21-Sep-18,speech,2018,"No one wins.  

I was very happy to see that here in Singapore you're making efforts of your own with the three new initiatives on the governance and ethics of AI and data announced in June. You are thinking of the political choices to be made. I can only hope that the rest of the world follows.",none,discretionary
52,53,1457,1457_28,"""New Voices and Political Choices in the Age of Artificial Intelligence"" - Speech at Nanyang Technological University, Singapore",9/20/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3889,20-Sep-18,speech,2018,"
But manufacturers resisted. They did not want to change. And in reality changing from a big steam engine to big electrical engine didn't give them major gains.",none,none
53,54,1488,1488_72,PRESIDENT JEAN-CLAUDE JUNCKER'S State of the Union Address 2018,9/12/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_5808,12-Sep-18,speech,2018,"But we also ask the British government to understand that someone who leaves the Union cannot be in the same privileged position as a Member State. If you leave the Union, you are of course no longer part of our Single Market, and certainly not only in parts of it. Secondly, the European Commission, this Parliament and all other Member States will always show loyalty and solidarity with Ireland when it comes to the Irish border.",none,prescriptive
54,55,1524,1524_46,Playing by the rules in a globalised world,7/20/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3810,20-Jul-18,speech,2018,We have to renew it every day. Even when it is challenging and difficult for us. The problem with rules is we are more likely to follow them when it suits us than when they don't.,none,none
55,56,1528,1528_51,"Transatlantic Trade in Turbulent Times - Speech by Cecilia MalmstrÃƒÂ¶m, European Commissioner for Trade",7/19/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_4604,19-Jul-18,speech,2018,"That much we can agree on. However, US measures on steel and aluminium will not solve overcapacity in China. The same goes for the use of the so-called Section 301 €“
the measures the US has taken against China on forced technology transfers.",none,none
56,57,1531,1531_32,"Remarks by Commissioner Phil Hogan on Simplification and Subsidiarity, July AGRI Council, Brussels",7/17/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3802,17-Jul-18,speech,2018,"Some of the requirements must be set up at Member State level. But, you will have the flexibility to target them to your local needs. 
For example, you will have to set requirements on:

Maximum age of a young farmer and condition that he/she is newly set-up is set at EU level: but it will be up to you to tailor the conditions to the needs of young farmers in your territory.",discretionary,discretionary
57,58,1592,1592_37,Address by President Jean-Claude Juncker to the Joint Houses of the Oireachtas,6/21/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_4246,21-Jun-18,speech,2018,"In fact, it goes against all logic and history. Our response must be clear but measured. We will do what we have to do to rebalance and safeguard.",none,none
58,59,1607,1607_23,Speech by Michel Barnier at the European Union Agency for Fundamental Rights,6/19/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_4213,19-Jun-18,speech,2018,"o   This would help fight cross-border crime. o   This would contribute to the success of transnational judicial cases. o   To strengthen this cooperation, we would invite the UK to send their liaison prosecutor and liaison officers to these Agencies.",discretionary,discretionary
59,60,1739,1739_56,"Speech at SYMPOSIUM ESU-IDEA, Supporting inclusive governance for sustainable democracy, Brussels",4/24/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3585,24-Apr-18,speech,2018,"You should be able to take cover with you if you switch jobs or employment status. 
Ladies and gentlemen,

We must stand together, because this is not just about age. 
But because we are all in the same boat.",none,none
60,61,1753,1753_14,"Keynote speech at Study Day on Social Europe, organised by University of Ghent and University of Strasbourg",4/20/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3573,20-Apr-18,speech,2018,"For example, by providing individual guidance for the long term unemployed. 
And we can see results. The economy is growing again.",discretionary,discretionary
61,62,1754,1754_48,"Keynote speech ""Humanitiarina Health Event"" (Brussels)",4/19/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3570,19-Apr-18,speech,2018,"Making the EU's collective response to emergencies with significant health consequences stronger. 
This is tangible proof of European solidarity. To countries with overwhelmed capacities in emergency times.",none,discretionary
62,63,1788,1788_16,"Speech at the Conference on Ã¢Â€ÂœDiversity in Unity and Fundamental Freedoms for Christians and Muslims in the Middle East: A Conference for Parliamentary DialogueÃ¢Â€Â (Beirut, 4 April 2018)",4/5/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3536,5-Apr-18,speech,2018,"Despite its many challenges, Lebanon remains an example for the region. 

Dear colleagues,

The topic of this conference is very close to my heart. Coming from Cyprus I have experienced division. Reconciliation is always a real challenge.",none,none
63,64,1866,1866_29,"Speech on 'Invigorating and Strengthening European Democracy', Lisbon",3/5/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3467,5-Mar-18,speech,2018,"If you look back, I think that between 1930 and 1960, for most middle-class people their wealth doubled. And I think that for most middle-class people, between 1960 and let's say 1985, it doubled once again. But since then, wealth accumulation has been happening in the hands of fewer people.",none,none
64,65,1871,1871_44,Speech for the closing ceremony of the 24th National Selection Conference of European Youth Parliament Belgium ,3/2/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3444,2-Mar-18,speech,2018,Your own economy also grows. It's a classic win-win. That is what we call upwards convergence.,none,none
65,66,1951,1951_37,Speech of First Vice-President Timmermans at the annual event of Liberation Route Europe 2018,2/3/2018,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3354,3-Feb-18,speech,2018,"Nothing tells these stories better than a personal account. 
Leo Lichten

The second person I want to tell you about is a man called Leo Lichten. Leo was one of the heroic liberators of Europe.",none,none
66,67,2062,2062_52,"Remarks at ECHO's 2017 Partners Conference (Brussels, 30 November 2017)",11/30/2017,https://ec.europa.eu/commission/presscorner/detail/en/speech_17_5985,30-Nov-17,speech,2017,"For more inclusive humanitarian action. 
For the first time, the needs of persons with disabilities should be considered in all planned actions. This is clearly highlighted in next year's humanitarian plans.",prescriptive,prescriptive
67,68,2078,2078_24,For a fair taxation system in Europe,11/28/2017,https://ec.europa.eu/commission/presscorner/detail/en/speech_17_5970,28-Nov-17,speech,2017,The US Senate looked into Apple's tax affairs. The British Parliament studied Starbucks and Amazon. And the Commission decided it was time to look again.,none,none
68,69,2091,2091_54,"Inaugural Frans Timmermans Lecture, Radboud University Nijmegen",11/24/2017,https://ec.europa.eu/commission/presscorner/detail/en/speech_17_5957,24-Nov-17,speech,2017,"But still, we keep trying, we Dutch. What we believe is very frank, is seen by others as very rude. That is also an element of intercultural dialogue that we could learn.",none,none
69,70,2095,2095_53,Making globalisation work for Europeans,11/23/2017,https://ec.europa.eu/commission/presscorner/detail/en/speech_17_5953,23-Nov-17,speech,2017,"
Conclusion

Five centuries ago, when Mercator came to Leuven, he met a man by the name of Andreas Vesalius. The two of them became friends for life. 
Vesalius had read all the old books on anatomy.",none,none
70,71,2108,2108_4,Keynote Speech of First Vice-President Frans Timmermans at Belgian Circular Economy Day,11/21/2017,https://ec.europa.eu/commission/presscorner/detail/en/speech_17_5941,21-Nov-17,speech,2017,"And this is the most profound industrial revolution in human history, because it will affect every single human being, everywhere on this planet, more or less at the same time. This has never happened before in human history. 
The second element €“ which creates a lot of discomfort and even anxiety €“ is that we increasingly see that we're all connected.",none,none
71,72,2178,2178_12,Speech of Commissioner Jourova at the High level seminar: Finland 100 years Ã¢Â€Â“ Finnish and European perspectives to the Rule of Law ,10/31/2017,https://ec.europa.eu/commission/presscorner/detail/en/speech_17_5864,31-Oct-17,speech,2017,"
This is a false premise, because the European law is not only upheld by the European Court of Justice in Luxembourg. 
The national courts are also €˜Union courts' as the ECJ declared in the famous, at least among students of EU law, Les Verts case already in 1986. 
This is of huge importance.",none,none
72,73,2220,2220_20,"Royal Society of Edinburgh Ã¢Â€Â“ MacCormick Lecture, Edinburgh",10/16/2017,https://ec.europa.eu/commission/presscorner/detail/en/speech_17_5815,16-Oct-17,speech,2017,"
 

(1) The first of these values is the respect for science and scientific knowledge. This is a value that has deep historical roots. 
Institutions like the Royal Society of Edinburgh have existed for centuries.",none,none
